supermarket,size,vacuum,brand
REWE,V03,AE 120,ADIX
REWE,V05,DIV 170,ADIX
REWE,V05,DIV 340,ADIX
REWE,V05,DIV 350,ADIX
REWE,V05,DIV 380,ADIX
REWE,V05,DL 110,ADIX
REWE,V06,MI 150,ADIX
REWE,V01,MI 160,ADIX
REWE,V01,MI 170,ADIX
REWE,V05,QU 340,ADIX
REWE,V02,SI 150,ADIX
REWE,V02,SI 200,ADIX
REWE,V02,SI 210,ADIX
REWE,V04,UN 210,ADIX
REWE,V03,100 bis 199 Serie Smart,AEG
REWE,V03,100 bis 199 Serie Vampyrino,AEG
REWE,V03,1500 Vampyr,AEG
REWE,V03,"1600,1605,1610 Vampyr",AEG
REWE,V03,1700 E Vampyr,AEG
REWE,V03,1803 bis 1805 Vampyr,AEG
REWE,V03,"1810, 1900, 1905 Vampyr",AEG
REWE,V03,2002.1 Vampyr,AEG
REWE,V03,2300 Vampyr,AEG
REWE,V05,300 bis 399 Serie Smart,AEG
REWE,V03,"4110,4111,4120 Vampyr",AEG
REWE,V03,5000 bis 5999 Vampyr,AEG
REWE,V03,920 Ecotec Vampyrino,AEG
REWE,V04,AAM 6100 bis 6160 AirMax,AEG
REWE,V04,AAM 6200 Öko - AirMax,AEG
REWE,V04,"AAM 6216, 6217",AEG
REWE,V04,"AAM 6300 CD, 6324",AEG
REWE,V04,AAM 7124 POW,AEG
REWE,V05,AB 3400 bis 3499 Berry,AEG
REWE,V04,Accurette / Plus,AEG
REWE,V03,ACE … Serie CE,AEG
REWE,V03,ACE 4112 Aventure,AEG
REWE,V04,ACS 1800 Classic Silence,AEG
REWE,V04,ACS GREEN Classic Silence Öko,AEG
REWE,V04,ACS ENERGY Classic Silence,AEG
REWE,V04,ACSG 1300 Classic Silence öko,AEG
REWE,V04,ACSPARKETT ClassicSilence,AEG
REWE,V05,AE 2000 Ergo Essence,AEG
REWE,V05,AE 2000 trio,AEG
REWE,V04,AE 305S5C Ergo Space,AEG
REWE,V05,AE 3400 bis 3499 Ingenio,AEG
REWE,V05,AE 3455,AEG
REWE,V05,AE 3460,AEG
REWE,V05,AE 4200 Ergo essence,AEG
REWE,V05,AE 4500 bis 4599 Serie - Ergo Essence,AEG
REWE,V05,AE 4594,AEG
REWE,V04,"AE 4620, 4622, 4640",AEG
REWE,V03,"AE 6000, AE 6070 - Salomon",AEG
REWE,V04,AEC Serie Clario,AEG
REWE,V05,AEG Serie Ergo Essence,AEG
REWE,V04,AEL Serie UltraOne,AEG
REWE,V04,AEO 5400 bis 5499 Essensio,AEG
REWE,V04,AEP Serie Pluto/Clario 2,AEG
REWE,V04,AEQ Serie Equipt,AEG
REWE,V04,AEQ10+ Equipt,AEG
REWE,V04,AEQ11+ Equipt,AEG
REWE,V04,AEQ12+ Equipt,AEG
REWE,V04,AEQ20+ Equipt,AEG
REWE,V04,AEQ25+ Equipt,AEG
REWE,V04,AES… Serie New Ergospace,AEG
REWE,V04,"AESG 300,301 Öko Ergospace",AEG
REWE,V04,AET 7700 bis 7799 Twintech,AEG
REWE,V04,AG 8800 Öko - UltraOne,AEG
REWE,V04,Airmax AAM 6100 bis 6160 C,AEG
REWE,V04,Airmax AAM 6320 CD,AEG
REWE,V04,Airmax AAM öko 6200,AEG
REWE,V04,Airmax Serie AAM…,AEG
REWE,V04,AJG 6700 JetMaxx Öko,AEG
REWE,V04,AJG 6800 bis 6899 Jet maxx Öko,AEG
REWE,V04,AJM 6800 bis 6899 Jet maxx,AEG
REWE,V04,AJM 68FD 1 bis 9 Jet Maxx,AEG
REWE,V04,AM Serie Maximus (max 5L),AEG
REWE,V04,AMX Serie Maximus (max 5L),AEG
REWE,V04,AO… Oxygen+,AEG
REWE,V04,AOS Serie + Oxy3System,AEG
REWE,V04,AP 40 E,AEG
REWE,V04,AP 4040 Ergo Classic ALLFLOOR,AEG
REWE,V04,AP 4041 Ergo Classic ALLFLOOR,AEG
REWE,V04,AP 4042 Ergo Classic ALLFLOOR,AEG
REWE,V04,AP 40E Plus,AEG
REWE,V04,APF… Serie - PowerForce,AEG
REWE,V04,APORGIN Aero Performer,AEG
REWE,V04,APORGINEL Aero Performer,AEG
REWE,V04,ASP… Serie - SilentPerformer,AEG
REWE,V04,AUO 8815 bis 8870 UltraOne,AEG
REWE,V04,AUS 8230,AEG
REWE,V04,AUS Serie Ultra Silencer,AEG
REWE,V04,AUSG Serie Ultra Silencer,AEG
REWE,V04,AUSÖ 3000 UltraSilencer Öko,AEG
REWE,V04,AVC Serie - Viva Control,AEG
REWE,V03,Aventure ACE 4112,AEG
REWE,V04,AVQ Serie,AEG
REWE,V04,AVQ Serie - QS Elegance,AEG
REWE,V04,AVQ Serie - Viva Quickstop,AEG
REWE,V03,Car & Clean Vampyrino,AEG
REWE,V03,CE … Serie Vampyr,AEG
REWE,V03,CE Azzurro Vampyr,AEG
REWE,V03,CE Compact Vampyr,AEG
REWE,V03,CE Jubilee Vampyr,AEG
REWE,V03,CE Mega Power… Vampyr,AEG
REWE,V03,CE Mr. Big Vampyr,AEG
REWE,V03,CE Power trio Vampyr,AEG
REWE,V03,CE Power… Vampyr,AEG
REWE,V03,CE Powerline Vampyr,AEG
REWE,V03,CE Powerstar Vampyr,AEG
REWE,V03,CE Smart & Clean Vampyr,AEG
REWE,V03,CE Sprint Vampyr,AEG
REWE,V03,CE Trio Vampyr,AEG
REWE,V03,CE Turbo El Vampyr,AEG
REWE,V03,CE Ultra Power Vampyr,AEG
REWE,V03,CE Winner,AEG
REWE,V03,CE2000EL,AEG
REWE,V03,CE4120EL+,AEG
REWE,V03,CEANIMAL,AEG
REWE,V03,CEPW24TRE+,AEG
REWE,V04,Clario AEC 7570 bis AEC 7572,AEG
REWE,V04,Clario Serie AEC,AEG
REWE,V03,Colore Vampyrino,AEG
REWE,V03,Comfort 0…9 Serie Vampyr,AEG
REWE,V03,Compact EL (start 1996),AEG
REWE,V03,Croma Vampyr,AEG
REWE,V03,Cyclone trio T2./...,AEG
REWE,V03,Duo Vampyr,AEG
REWE,V03,E 150 Vampyr,AEG
REWE,V03,E 160 Vampyr,AEG
REWE,V03,E 1700 Plus Vampyr,AEG
REWE,V03,"E 180,181 Vampyr",AEG
REWE,V03,E 185 Vampyr,AEG
REWE,V03,E 190 Vampyr,AEG
REWE,V03,E 200 Turbo Vampyr,AEG
REWE,V03,Energy Saver CE 1400,AEG
REWE,V05,Ergo essence AE 4550 bis AE 4599,AEG
REWE,V05,Ergo Essence Serie AEG,AEG
REWE,V03,Europe 1st Vampyr,AEG
REWE,V03,Exquisit 1201 Vampyr,AEG
REWE,V03,Exquisit 1202 Vampyr,AEG
REWE,V03,Exquisit 1400EL Vampyr,AEG
REWE,V03,Exquisit 1500 Vampyr,AEG
REWE,V03,Exquisit 200 Vampyr,AEG
REWE,V03,Exquisit 217 Vampyr,AEG
REWE,V03,Exquisit 500 Vampyr,AEG
REWE,V03,Freshline Vampyr,AEG
REWE,V04,GR 200 bis 206,AEG
REWE,V04,GR 210,AEG
REWE,V04,GR 212,AEG
REWE,V03,GR 28,AEG
REWE,V03,AGR 5,AEG
REWE,V05,GR 50,AEG
REWE,V03,H 2000 Vampyr,AEG
REWE,V03,"H 2162, 2182 Vampyr",AEG
REWE,V03,H 2202 Vampyr,AEG
REWE,V03,HH 2202 Vampyr,AEG
REWE,V04,JM Jet Maxx,AEG
REWE,V04,JMALLFLRLR,AEG
REWE,V03,K 2000 Vampyr,AEG
REWE,V03,K 3170 Vampyr,AEG
REWE,V03,K 3180 Vampyr,AEG
REWE,V03,K 3200 Vampyr,AEG
REWE,V03,K 4200 Vampyr,AEG
REWE,V03,Lemon Vampyr,AEG
REWE,V03,Luxor 1 Vampyr,AEG
REWE,V03,LX exclusiv Vampyrino,AEG
REWE,V04,Maximus Serie AM… (max.5l),AEG
REWE,V04,Maximus Serie AMX… (max.5l),AEG
REWE,V03,"Mega Power 2,3,5 Vampyr",AEG
REWE,V03,MM 1700 Vampyr,AEG
REWE,V03,MM 1800 Vampyr,AEG
REWE,V03,MM 2000 Vampyr,AEG
REWE,V03,Öko - Vampyrino,AEG
REWE,V03,Öko Vampyrino,AEG
REWE,V04,Oxy3 System Serie AOS…,AEG
